Track,Album Name,Artist,Release Date,All Time Rank,Spotify Streams,Spotify Popularity
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),400 Degreez (Deluxe Edition),JUVENILE,3/29/2024,65,199929812,0.0
Calm Down,Calm Down,Rema,2/10/2022,66,584427088,68.0
CARNIVAL,CARNIVAL,ýý$,2/8/2024,67,466887055,84.0
Kill Bill,SOS,SZA,12/8/2022,68,1873746537,82.0
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,7/13/2023,69,891720245,82.0
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,3/3/2023,70,46567,6.0
Heat Waves,Heat Waves,Glass Animals,6/29/2020,71,2996181078,82.0
In the End,Papercuts,Linkin Park,4/12/2024,72,2045512421,0.0
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,1/11/2023,73,946941510,74.0
The Way We Move - Extended Mix,The Way We Move,PowerDress,3/10/2023,74,7909,4.0
Old Town Road,Old Town Road,Lil Nas X,3/14/2019,75,1010494713,67.0
un x100to,un x100to,Grupo Frontera,4/17/2023,76,1008495696,75.0
Laxed ï¿½ï¿½ï¿½ Sire,Laxed (Siren Beat),Jawsh 685,4/24/2020,77,0,0.0
Sprinter,Sprinter - Single,Dave,6/1/2023,78,692512930,78.0
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,79,169410711,90.0
TQG,TQG,KAROL G,2/23/2023,80,1024381758,78.0
Perfect,ýý (Deluxe),Ed Sheeran,3/3/2017,81,2969999682,81.0
Pepas,Pepas,Farruko,6/24/2021,82,1500499584,74.0
Peekaboo,Glide - Single,Dave Angel,1/27/2023,83,8082,0.0
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,3/16/2023,84,1215336974,74.0
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,5/25/2023,85,860026452,80.0
La Bebe - Remix,La Bebe (Remix),Yng Lvcas,3/17/2023,86,1032225805,79.0
redrum,american dream,21 Savage,1/12/2024,87,428233003,0.0
Easy On Me,Easy On Me,Adele,10/14/2021,88,1720918065,73.0
Titï¿½ï¿½ Me Pregu,Un Verano Sin Ti,Bad Bunny,5/6/2022,89,1514239759,77.0
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,5/12/2023,90,333202114,68.0
Anti-Hero,Midnights,Taylor Swift,10/21/2022,91,1563224246,80.0
"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,7/6/2022,92,1692951462,78.0
Magnetic,SUPER REAL ME,ILLIT,3/25/2024,93,255076355,86.0
Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,7/28/2023,94,275349653,70.0
La Diabla,La Diabla - Single,Xavi,12/2/2023,95,649404552,83.0
Boy's a Liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,2/3/2023,96,851085705,70.0
Snooze,SOS,SZA,12/9/2022,97,1013350808,84.0
BELLAKEO,BELLAKEO,Peso Pluma,12/7/2023,98,359803580,86.0
Agora Hills,Scarlet,Doja Cat,9/22/2023,99,509653100,0.0
Prada,Prada,cassï¿,8/11/2023,100,609699748,83.0
Montagem Rave Eterno,Montagem Rave Eterno,Dj Samir,5/2/2024,101,5157486,0.0
Lil Boo Thang,Lil Boo Thang,Paul Russell,8/18/2023,102,242070373,76.0
MONACO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,103,478150858,78.0
Laxed (Siren Beat),Laxed (Siren Beat),Jawsh 685,4/24/2020,104,61382407,43.0
(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,6/15/2023,105,460156070,77.0
Training Season,Training Season,Dua Lipa,2/15/2024,106,251153869,76.0
Type Shit,WE DON'T TRUST YOU,Future,3/22/2024,107,205206688,84.0
Armageddon,Armageddon - The 1st Album,aespa,5/27/2024,108,32942304,74.0
The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,12/6/2019,109,1911559785,78.0
INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,7/23/2021,110,2014959725,70.0
Pedro,Pedro - Single,Jaxomy,3/29/2024,111,168145583,85.0
Fast Car,Gettin' Old,Luke Combs,3/24/2023,112,518988585,80.0
Bling-Bang-Bang-Born,Bling-Bang-Bang-Born,Creepy Nuts,1/7/2024,113,247399972,80.0
Aesthetic,Aesthetic,Tollan Kim,3/4/2022,114,5712985,44.0
Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,10/18/2018,116,3358704125,79.0
Hands,Hands,Dianï¿½,8/1/2022,115,126914,1.0
Saturn,Saturn - Single,SZA,2/24/2024,117,343090427,87.0
Chegou a Hora de Ir para Cama (Playback),3 Palavrinhas Vol.9 (Playback),3 Palavrinhas,6/4/2024,118,0,0.0
Believer,Believer,Imagine Dragons,1/31/2017,119,3006226762,81.0
WAIT FOR U (feat. Drake & Tems),WAIT FOR U (feat. Drake & Tems),Future,4/27/2022,120,787155930,77.0
I KNOW ?,UTOPIA,Travis Scott,7/28/2023,121,532605345,81.0
ANDO,ANDO,Jere Klein,9/27/2023,122,292789738,72.0
First Class,First Class,Jack Harlow,4/8/2022,123,818858244,71.0
FE!N,UTOPIA,Travis Scott,7/28/2023,124,659010786,86.0
Save Your Tears - Live,After Hours (Live At SoFi Stadium),The Weeknd,3/3/2023,125,3913988,40.0
Losing Interest - Original Mix,Losing Interest (Original),Goovex,6/10/2024,126,126247886,1.0
I Ain't Worried,"I Ainï¿½ï¿½ï¿½t Worried (Music From The Motion Pi""Top Gun: Maverick"")",OneRepublic,5/13/2022,127,1607421145,83.0
MI EX TENï¿½ï¿½A RA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,8/10/2023,128,438796949,78.0
Drained of Color,Drained of Color,Exhumed,8/30/2022,129,158627,16.0
Mood (feat. iann dior),Mood (feat. Iann Dior),24kGoldn,7/24/2020,130,1867736006,76.0
Dynamite,Dynamite,BTS,8/21/2020,131,1872577908,74.0
Looking Like a Wow End of Year 2023,Looking Like a Wow,WasteLand,12/10/2023,132,8327,0.0
Someone You Loved,Breach,Lewis Capaldi,11/8/2018,133,3427498835,82.0
Acrï¿½ï¿½s,Acrï¿½ï¿½stico - Si,Shakira,5/11/2023,134,230849195,64.0
Made You Look,Takin' It Back,Meghan Trainor,10/21/2022,135,720720922,77.0
PHONK BRASILEIRO FRESCO (Slowed + Reverb),PHONK BRASILEIRO FRESCO,DJ MOIGUS,6/22/2023,136,1378494,34.0
"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]","Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",Shreya Ghoshal,5/29/2024,137,2827545,0.0
vampire,vampire,Olivia Rodrigo,6/30/2023,138,998964097,18.0
Casca de Bala,A Cara das Vaquejadas 3.0,Thullio Milionï¿½ï¿,3/1/2024,139,37157630,74.0
Back,Back,LOLA,8/3/2022,140,48428,3.0
People,People - Single,Libianca,12/5/2022,141,631955547,74.0
Jedag Jedug Capcut 2024,Jedag Jedug Capcut 2024,Afrian Af,1/5/2024,142,0,0.0
Lady Killers II (Christoph Andersson Remix),Lady Killers II (Christoph Andersson Remix),G-Eazy,3/17/2024,143,94635338,0.0
I Don't Wanna Wait,I Don't Wanna Wait,David Guetta,4/5/2024,144,114574238,84.0
Abc,Abc,J Ross,2/14/2023,145,31867,1.0
La Bachata,La Bachata,Manuel Turizo,5/26/2022,146,1721045197,81.0
ýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýý,FLI:P,4/7/2023,147,8028757,44.0
Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,3/19/2021,148,1612286123,74.0
Don't Start Now,Don't Start Now,Dua Lipa,10/31/2019,149,2607121959,78.0
Lucid Dreams,Lucid Dreams,Juice WRLD,5/4/2018,150,2548389305,78.0
PROVENZA,PROVENZA,KAROL G,4/22/2022,151,1185929926,76.0
WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,8/7/2020,152,1325725696,72.0
SPOT!,SPOT!,ZICO,4/26/2024,153,77757035,81.0
Family Matters,Family Matters,Drake,5/3/2024,154,72335127,86.0
Again,Missing,Kurochuu,6/9/2024,155,136237285,2.0
Seven (feat. Latto) (Explicit Ver.),Seven (feat. Latto),Jung Kook,7/14/2023,156,1673557134,80.0
Last Night,3 Songs At A Time Sampler,Morgan Wallen,1/31/2023,157,922010059,79.0
Too Sweet,Unreal Unearth: Unheard,Hozier,3/22/2024,158,532012790,85.0
Bad Habits,#NAME?,Ed Sheeran,1/1/2020,159,1754311538,74.0
QLONA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,8/10/2023,160,850810162,82.0
Leave The Door Open,Leave The Door Open,Bruno Mars,3/5/2021,161,1312168384,75.0
ýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý 3ýýýýýý ýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý(ýýýýýýýýýýýýýýý),1/5/2022,162,548408,24.0
good 4 u,good 4 u,Olivia Rodrigo,5/14/2021,163,2167768056,79.0
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,3/29/2019,164,2516804300,76.0
Seï¿½ï¿½o,Shawn Mendes (Deluxe),Shawn Mendes,5/25/2018,165,2738293818,74.0
DESPECHï¿,DESPECHï¿,ROSALï¿½,7/28/2022,166,1003487432,73.0
ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby,4/17/2020,167,1638836101,70.0
Eyes Closed,Eyes Closed (Piano Version),Ed Sheeran,3/23/2023,168,372423476,71.0
I Remember Everything (feat. Kacey Musgraves),I Remember Everything (feat. Kacey Musgraves),Zach Bryan,8/24/2023,169,630373315,84.0
Circles,Circles,Post Malone,8/30/2019,170,2481391466,80.0
EL AMOR DE SU VIDA,EL AMOR DE SU VIDA,Grupo Frontera,8/3/2023,171,474590289,78.0
About Damn Time,About Damn Time,Lizzo,4/14/2022,172,847025688,66.0
Closer,Closer,The Chainsmokers,7/29/2016,173,2880536961,80.0
FLOWER,ME,JISOO,3/31/2023,174,440364356,70.0
PERRO NEGRO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,175,689181455,83.0
Rich Baby Daddy (feat. Sexyy Red & SZA),For All The Dogs,Drake,10/6/2023,176,372248119,0.0
Havana (feat. Young Thug),Havana,Camila Cabello,8/3/2017,177,2072182782,75.0
LUNA,FERXXOCALIPSIS,Feid,12/1/2023,178,606124553,86.0
I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,6/3/2022,179,827950825,73.0
Bones,Bones,Imagine Dragons,3/11/2022,180,1227475431,78.0
Segï¿½ï¿½n Qu,Segï¿½ï¿½n Qu,Maluma,8/17/2023,182,571366508,79.0
Selfish,Selfish,Justin Timberlake,1/25/2024,181,92932220,0.0
golden hour,golden hour,JVKE,7/15/2022,183,1126986320,73.0
Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,3/27/2020,184,2074721986,77.0
Get It Sexyy,Get It Sexyy,Sexyy Red,3/15/2024,185,89362910,84.0
"This Wish - From ""Wish""","This Wish (From ""Wish"")",Ariana DeBose,10/18/2023,186,26674909,19.0
IDGAF (feat. Yeat),For All The Dogs,Drake,10/6/2023,187,406875019,0.0
Ojitos Lindos,Un Verano Sin Ti,Bad Bunny,5/6/2022,188,1421763497,78.0
Life Is Good (feat. Drake),Life Is Good (feat. Drake),Future,1/10/2020,189,1237874594,67.0
Escapism.,Escapism. / The Thrill Is Gone.,RAYE,10/12/2022,190,804925777,75.0
Stargazing,Stargazing,Myles Smith,5/10/2024,191,106599323,87.0
Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",Drake,6/17/2022,192,971473231,78.0
What You Know Bout Love,Shoot For The Stars Aim For The Moon,Pop Smoke,7/3/2020,193,1125681368,72.0
Memories,Memories,Maroon 5,9/20/2019,194,2011072164,77.0
Classy 101,Classy 101,Feid,3/31/2023,195,872148396,78.0
Whatever,Whatever,Kygo,1/19/2024,196,222354971,83.0
Whatever She Wants,Whatever She Wants,Bryson Tiller,2/13/2024,197,207093873,87.0
Vois sur ton chemin - Techno Mix,Vois sur ton chemin (Techno Mix),BENNETT,8/4/2023,198,361517395,80.0
"yes, and?","yes, and?",Ariana Grande,1/12/2024,199,416813996,0.0
Without Me,Without Me,Halsey,10/4/2018,200,2042792456,75.0
meet the grahams,meet the grahams,Kendrick Lamar,5/3/2024,201,65520394,0.0
First Person Shooter (feat. J. Cole),For All The Dogs,Drake,10/6/2023,202,328526298,0.0
Shallow,Shallow,Lady Gaga,9/27/2018,204,2447973078,78.0
Thunder,Thunder,Imagine Dragons,4/27/2017,203,2384768901,79.0
Rush,Rush,Ayra Starr,9/16/2022,205,371886608,67.0
abcdefu,abcdefu,GAYLE,8/13/2021,206,1128273165,70.0
Buga,Buga,Kizz Daniel,5/3/2022,208,86516910,57.0
Bad Habit,Bad Habit,Steve Lacy,6/29/2022,207,1087938471,73.0
MONEY,LALISA,LISA,9/10/2021,210,1189335848,73.0
Columbia,Columbia,Quevedo,7/7/2023,209,721002940,79.0
LADY GAGA,LADY GAGA,Peso Pluma,6/22/2023,212,684204777,78.0
Woman,Planet Her,Doja Cat,6/25/2021,211,1606950381,78.0
CUFF IT,RENAISSANCE,Beyoncï¿,7/29/2022,213,795960535,73.0
KING KONG,KING KONG,TREASURE,5/28/2024,214,8078265,68.0
How You Like That,How You Like That,BLACKPINK,6/25/2020,215,1033109188,68.0
Milf Song,Milf Song,The Puddleducks,8/19/2022,216,1165982,28.0
Nasty,Nasty,Tinashe,4/12/2024,217,31612906,76.0
Superhero (Heroes & Villains),HEROES & VILLAINS,Metro Boomin,12/2/2022,218,706356280,77.0
Panda,Panda,Desiigner,2/26/2016,219,1181348550,62.0
Push Ups,Push Ups,Drake,4/19/2024,220,107762230,0.0
Tattoo,Tattoo,Loreen,2/25/2023,221,518846340,77.0
Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,4/9/2021,222,1823871908,76.0
What It Is (Block Boy) (with Kodak Black),What It Is (Versions),Doechii,3/17/2023,223,102772879,61.0
Gata Only,Gata Only - Single,FloyyMenor,12/21/2023,224,4674619,0.0
Illusion,Illusion,Dua Lipa,4/11/2024,225,108501771,12.0
drivers license,drivers license,Olivia Rodrigo,1/8/2021,226,2184754018,79.0
Used To Be Young,Endless Summer Vacation,Miley Cyrus,8/18/2023,227,205468104,69.0
Cupid - Twin Ver.,The Beginning: Cupid - Single,FIFTY FIFTY,2/24/2023,229,861388470,48.0
How Sweet,How Sweet,NewJeans,5/24/2024,228,33595707,79.0
Players,Players,Coi Leray,11/30/2022,230,465588517,67.0
rockstar (feat. 21 Savage),rockstar,Post Malone,9/15/2017,231,2960046642,77.0
Lil Somethin Somethin,Lil Somethin Somethin,Vayah,3/11/2023,232,11648,0.0
Con Calma,Con Calma,Daddy Yankee,1/24/2019,236,1353028938,73.0
Here With Me,Here With Me,d4vd,7/20/2022,234,1042311849,80.0
Favorite Song,Favorite Song,Toosii,2/17/2023,235,186579651,62.0
Si No Quieres No,Si No Quieres No - Single,Luis R Conriquez,3/9/2024,233,158131138,85.0
Mele Kalikimaka,"Essential Classics, Vol. 166: Bing Crosby",Bing Crosby,6/5/2024,237,186123398,0.0
MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,3/26/2021,238,1902241314,70.0
Voz Emplumada del Monte,Voz Emplumada - EP,Biomigrant,3/3/2023,239,42761,16.0
Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version),Taylor Swift,10/26/2023,240,406821432,0.0
Si No Estï¿½,Si No Estï¿½ï¿½s - Si,iï¿½ï¿½igo quin,9/22/2022,241,665716137,80.0
Glimpse of Us,Glimpse of Us,Joji,6/10/2022,242,1262308912,74.0
Watermelon Sugar,Watermelon Sugar,Harry Styles,11/17/2019,243,2708151499,82.0
Corazï¿½ï¿½n de Pi,Corazï¿½ï¿½n de Piedra - Si,Xavi,3/23/2024,244,172164034,82.0
Praise Jah In The Moonlight,Praise Jah In the Moonlight - Single,YG Marley,12/27/2023,245,298853393,70.0
WHERE SHE GOES,WHERE SHE GOES,Bad Bunny,5/18/2023,246,717849037,72.0
Yandel 150,Yandel 150,Yandel,12/20/2022,247,837576264,70.0
THATS WHAT I WANT,MONTERO,Lil Nas X,9/17/2021,248,1062095453,72.0
Todo De Ti,Todo De Ti,Rauw Alejandro,5/20/2021,249,1339352060,75.0
Chemical,Chemical,Post Malone,4/14/2023,250,503574147,75.0
See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),Wiz Khalifa,1/1/2015,251,1891920348,78.0
Drip Too Hard (Lil Baby & Gunna),Drip Too Hard,Lil Baby,9/12/2018,252,1486929795,76.0
Shooting Star,Kep1going On,Kep1er,6/3/2024,253,1534062,0.0
Uptown Funk,Full Circle: The Live Anthology,Mark Ronson,11/20/2011,254,1993030264,77.0
Dog's Plan,Thoughts Feelings,David Jackson,3/2/2023,255,0,3.0
love nwantiti (ah ah ah),CKay The First,CKay,8/30/2019,256,853451422,71.0
Mi Gente,Mi Gente,J Balvin,6/30/2017,257,1478442472,69.0
Late Night Talking,Harry's House,Harry Styles,5/20/2022,258,959639297,76.0
Miss You,Miss You,Oliver Tree,8/5/2022,261,631378937,51.0
girls like me don't cry,Girls Like Me Don't Cry,thï¿½ï,10/6/2022,260,69931412,61.0
Yummy Fruits and Vegetables,Yummy Fruits and Vegetables,D Billions,10/20/2020,259,2300838,35.0
Dakiti,Dakiti,Bad Bunny,1/1/2020,262,1977947460,72.0
Starboy,Starboy,The Weeknd,9/22/2016,265,3291262413,84.0
Sorry,Sorry,Justin Bieber,10/23/2015,264,2089476497,78.0
Calling My Phone,Calling My Phone,Lil Tjay,2/12/2021,263,777064903,71.0
Pink Venom,Pink Venom,BLACKPINK,8/19/2022,266,736469450,68.0
I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,267,250430303,84.0
death bed (coffee for your head),"Some Boring, Love Stories, Pt. 2",Powfu,2/9/2019,268,1656385770,74.0
Too Many Nights (feat. Don Toliver & with Future),HEROES & VILLAINS,Metro Boomin,12/2/2022,269,682837690,80.0
MELTDOWN (feat. Drake),MELTDOWN (feat. Drake),Travis Scott,7/27/2023,270,347647880,74.0
California Gurls,Girl Power 2023,Katy Perry,9/19/2023,271,0,0.0
Moscow Mule,Un Verano Sin Ti,Bad Bunny,5/6/2022,272,1108031580,77.0
Something Just Like This,Something Just Like This,The Chainsmokers,2/22/2017,273,2596644721,82.0
7 rings,7 rings,Ariana Grande,1/18/2019,274,2262490403,77.0
Moonlight,Moonlight,Kali Uchis,2/24/2023,275,701558859,74.0
Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),Jawsh 685,6/11/2020,276,1118038333,67.0
Bidi Bidi Bom Bom (Remasterizado 2024/30th Anniversary),Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,3/22/2024,277,58157068,0.0
God's Plan,Diplomatic Immunity,Drake,1/20/2018,278,2529948475,77.0
Sunroof,Sunroof,Nicky Youre,11/26/2021,279,879708559,12.0
La Vï¿½ï¿½c,La Vï¿½ï¿½c,Xavi,8/19/2023,280,521116293,81.0
MY EYES,UTOPIA,Travis Scott,7/28/2023,281,403132906,78.0
WORK,GOLDEN HOUR : Part.1,ATEEZ,5/31/2024,282,10135326,31.0
Despacito - Remix,Despacito Feat. Justin Bieber (Remix),Luis Fonsi,4/17/2017,284,1713294983,65.0
Ghost,Justice,Justin Bieber,3/19/2021,283,1586830204,80.0
Dior,Meet The Woo,Pop Smoke,7/26/2019,285,1070422470,72.0
New Baby Shark,Pinkfong & Baby Shark's Space Adventure Songs,Pinkfong,9/30/2022,286,720822868,17.0
Breakeven,Breakeven (Official 4K Video),The Script,4/25/2024,287,858979483,0.0
Una Noche en Medellï¿½,Una Noche en Medellï¿½,Cris Mj,1/21/2022,288,839405565,75.0
SAD!,SAD!,XXXTENTACION,3/2/2018,289,2218531106,75.0
Primera Cita,La Primera Cita - Single,Carin Leon,4/20/2023,290,598006591,80.0
Efecto,Un Verano Sin Ti,Bad Bunny,5/6/2022,292,1293773697,77.0
Dame Tu Cosita,Dame Tu Cosita,El Chombo,4/23/2018,291,0,0.0
Bï¿½ï¿½nï¿½ï¿½ï¿½ï¿½os Que Nï¿½ï¿½o Tï¿½ï¿½m Fim (Co,Bï¿½ï¿½nï¿½ï¿½ï¿½ï¿½os Que Nï¿½ï¿½o Tï¿½ï¿½m Fim (Co,Isadora Pompeo,11/9/2023,293,95536146,0.0
Slow It Down,Slow It Down,Benson Boone,3/22/2024,294,202667139,85.0
Yonaguni,Yonaguni,Bad Bunny,6/4/2021,295,1398634184,71.0
Heathens,Heathens,Twenty One Pilots,6/16/2016,296,1777196966,78.0
Whoopty,Whoopty,CJ,8/20/2020,297,775664145,61.0
Super Shy,NewJeans 'Super Shy',NewJeans,7/7/2023,298,547471596,77.0
Happier,Happier - Single,Marshmello,8/16/2018,299,2143821605,16.0
HARLEY QUINN,HARLEY QUINN - Single,Fuerza Regida,10/18/2023,301,462284590,84.0
